Plaza,Tienda,Zona,lat,lon,background_avg,best_effort_avg,video_avg,voice_avg
10UMR,50JZW,Matamoros,23.6605554,-99.12347950000002,0,3.89,0,0
10TMP,50XOP,NORESTE,22.2127026,-97.8567075,0,48,0,0
10QRO,50MMV,NORESTE,20.4078108,-100.0059927,0,80,0,0
10QRO,50SU6,NORESTE,20.3903523,-99.9951437,0,44.8,0,0
10UMI-M,50SQW,Matamoros,37.4180951010362,-122.098531723022,0,26.67,0,0
10NLA,50RJX,Laredo,27.4998598,-99.5545013,0,54.86,0,0
10UMR,50MCF,Matamoros,25.8597998,-97.4765396,6,53.33,0,0
10TMP,50THJ,NORESTE,21.2605422,-98.7893905,0,6,24,0
10PGS,50UQR,NORESTE,28.7154811,-100.5619,0,85.33,0,0
10UMR,50MRJ,Matamoros,23.7703823,-98.2034621,0,53.33,0,0
10QRO,503Z6,NORESTE,37.4180951010362,-122.098531723022,0,96,0,0
10UMR,50XJL,Matamoros,23.739353,-99.15188529999999,0,80,0,0
10QRO,50JEP,NORESTE,20.6969113,-100.4397544,0,76.8,0,6
10QRO,50IXM,NORESTE,20.6519463,-100.342882,0,53.33,0,0
10PGS,50EJB,NORESTE,29.3361052,-100.9550161,0,42.67,0,0
10QRO,50GY7,NORESTE,20.4730803,-100.9685623,0,26.67,0,0
10QRO,50HH1,NORESTE,20.5463552,-100.4400015,0,26.67,0,0
10QRO,50BOF,NORESTE,20.5456158,-100.8341459,0,80,0,0
10TMP,50KDB,NORESTE,22.256501,-97.86401719999999,0,48,0,0
10QRO,50YVQ,NORESTE,20.3980632,-99.98231489999999,0,21.33,0,0
10QRO,50QRP,NORESTE,20.5156835,-100.8874864,0,12,0,0
10TMP,50NFI,NORESTE,21.7769698,-98.44697769999999,0,80,0,0
10TMP,50BMS,NORESTE,22.3073428,-97.8858841,0,96,0,0
10QRO,50RJL,NORESTE,20.7218963,-100.4655179,0,76.8,0,0
10UMR,504AD,Matamoros,23.7664444,-98.2061177,0,80,0,0
10QRO,50U4U,NORESTE,20.5835872,-100.3945596,0,40,0,0
10TMP,50PGW,NORESTE,22.7498622,-98.9712898,0,89.6,0,0
10QRO,509HT,NORESTE,20.2951774,-99.9250086,0,80,0,0
10QRO,50MCO,NORESTE,20.4825107,-100.115374,0,80,0,0
10UMR,50UXB,Matamoros,23.7400891,-99.13722589999999,0,44.8,0,0
10NLA,50ZSJ,Laredo,27.4719529,-99.50651049999999,0,80,0,0
10QRO,50ZJE,NORESTE,20.5876906,-100.3919375,0,76.8,1.4,0
10TMP,50UUV,NORESTE,22.2179911,-97.8435995,0,48,0,0
10NLA,50VJN,Laredo,27.5156743,-99.587925,0,48,0,0
10UMR,50Z6S,Matamoros,25.8284875,-97.4575203,0,53.33,0,0
10TMP,50OMU,NORESTE,22.2252467,-97.90185699999999,0,48,0,0
10TMP,50LB3,NORESTE,22.330828,-97.8667878,0,48,0,0
10UMR,506BJ,Matamoros,25.6787216,-97.8098885,0,56,0,0
10UMR,50HBI,Matamoros,23.7240787,-99.153606,0,48,0,0
10QRO,50SJQ,NORESTE,20.3787509,-99.964248,0,40,0,0
10TMP,50Y5Z,NORESTE,22.2278826,-97.8462375,0,48,0,0
10UMR,50DWQ,Matamoros,24.0517384,-98.8930579,0,42.67,0,48
10QRO,50CXR,NORESTE,20.4019913,-99.96962789999999,0,96,0,0
10QRO,500SF,NORESTE,20.651785,-100.3497139,0,53.33,0,0
10NLA,LA502,Laredo,37.4180951010362,-122.098531723022,0,7.33,0,0
10UMR,50EUP,Matamoros,23.7477942,-99.1202158,0,12,0,0
10QRO,50HIG,NORESTE,20.5492873,-100.3755599,0,96,0,0
10TMP,50HVY,NORESTE,22.4093664,-97.91924209999999,0,48,0,0
10TMP,50V3Z,NORESTE,22.3038697,-97.8203394,0,56,0,0
10QRO,50CDB,NORESTE,20.7087087,-100.4528746,0,48,0,0
10QRO,50IXT,NORESTE,20.4997072,-99.9269587,0,12,0,0
10PGS,50ADR,NORESTE,28.7057718,-100.5164159,0,89.6,0,0
10TMP,50IMJ,NORESTE,21.9842559,-99.0160775,0,76.8,3,0
10NLA,50VVI,Laredo,27.4797963,-99.488714,0,56,0,0
10TMP,50ILQ,NORESTE,22.2726396,-97.80394729999999,0,85.33,0,0
10PGS,50U98,NORESTE,28.6906281,-100.588974,0,7,0,0
10QRO,50QMC,NORESTE,20.3865313,-99.96357019999999,0,53.33,0,0
10QRO,50R51,NORESTE,20.6455655,-100.4097701,0,85.33,0,0
10QRO,50SSW,NORESTE,20.6204831,-100.277249,0,53.33,0,0
10QRO,50UCW,NORESTE,20.5907078,-100.4047523,0,85.33,0,0
10UMR,50UMN,Matamoros,25.8286254,-97.5117446,0,6.55,0,0
10QRO,50QTC,NORESTE,20.6270197,-100.4128579,0,10.67,0,0
10TMP,50AMH,NORESTE,22.2120991,-97.8485887,0,91.43,0,0
10NLA,50OYR,Laredo,27.4757042,-99.50791,0,48,0,0
10TMP,506A4,NORESTE,22.2121148,-98.38800789999999,0,48,0,0
10QRO,50IXS,NORESTE,20.6226316,-100.4472733,0,53.33,0,0
10TMP,50TXP,NORESTE,22.2866248,-97.8730677,0,85.33,0,0
10PGS,50XXE,NORESTE,28.6929476,-100.5529845,0,5.8,0,0
10UMR,50HYA,Matamoros,25.8705779,-97.51716719999999,0,53.33,0,0
10TMP,50DVR,NORESTE,22.3233599,-97.87619889999999,0,3.5,0,0
10PGS,50IKK,NORESTE,28.71040929999999,-100.5182243,0,42.67,0,0
10TMP,50RFI,NORESTE,22.2583543,-97.8244919,0,53.33,0,0
10QRO,50OE5,NORESTE,20.9110187,-100.7254678,0,48,0,0
10TMP,50M73,NORESTE,22.8171476,-98.3636131,0,85.33,0,0
10TMP,509UI,NORESTE,22.38107,-97.9143816,0,5.6,0,0
10QRO,50TY5,NORESTE,20.5146531,-100.8380057,0,85.33,0,0
10TMP,50916,NORESTE,21.9989093,-99.0246178,null,null,null,null
10NLA,50ENH,Laredo,27.3103189,-99.5941644,0,48,0,0
10QRO,50CVL,NORESTE,20.6249848,-100.456977,0,89.6,0,0
10QRO,50QAL,NORESTE,20.5283243,-100.8039043,0,89.6,0,0
10QRO,50A7J,NORESTE,20.6448264,-100.3756215,0,89.6,0,0
10NLA,50DMS,Laredo,27.4759641,-99.58348629999999,0,85.33,0,0
10PGS,50YOY,NORESTE,28.6453339,-100.5562022,0,53.33,2.52,0
10QRO,50B7K,NORESTE,20.5500503,-100.8314822,0,85.33,0,0
10QRO,507FK,NORESTE,20.653882,-100.3385879,0,48,0,0
10NLA,50KKR,Laredo,27.444611,-99.52201149999999,0,48,0,0
10QRO,50KSL,NORESTE,21.2849439,-100.5921536,0,85.33,0,0
10QRO,50JPJ,NORESTE,20.5912605,-100.3980855,0,80,0,0
10QRO,50S6U,NORESTE,20.3868762,-99.9709637,0,42.67,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10PGS,50PVG,NORESTE,29.3150799,-100.9509212,0,13.33,0,0
10UMR,50SJP,Matamoros,25.8453114,-97.49218789999999,0,3.81,0,0
10QRO,50NWB,NORESTE,20.6243116,-100.2743257,0,53.33,0,0
10TMP,50KAD,NORESTE,22.9209418,-98.0847838,0,96,0,0
10UMR,50VDI,Matamoros,23.7470239,-99.1503069,0,24,0,0
10QRO,50CIR,NORESTE,20.5973264,-100.3808544,0,7.33,0,0
10QRO,50AHA,NORESTE,20.6403195,-100.4779192,0,42.67,0,0
10NLA,50ZNG,Laredo,27.4534616,-99.5319478,0,36.57,0,0
10PGS,50XXF,NORESTE,29.30783419999999,-100.9481244,0,76.8,0,0
10QRO,50QIU,NORESTE,20.5827584,-100.3673678,0,80,0,0
10QRO,508P2,NORESTE,20.6914327,-100.446944,0,91.43,0,0
10UMR,50SOY,Matamoros,25.8539599,-97.4750105,0,48,0,0
10QRO,50Q57,NORESTE,20.9990224,-100.3823617,0,53.33,0,0
10TMP,50FBM,NORESTE,21.9490471,-98.99431109999999,0,85.33,0,0
10TMP,50POM,NORESTE,22.2511874,-97.8437436,0,6.29,0,0
10QRO,50NZR,NORESTE,21.0002879,-100.3863199,0,53.33,0,0
10TMP,50QOU,NORESTE,22.3110543,-97.87383969999999,0,4.57,0,0
10NLA,50YUR,Laredo,27.4708931,-99.5278009,0,48,0,0
10TMP,500S1,NORESTE,21.9827774,-99.01500539999999,0,76.8,0,0
10NLA,50ITW,Laredo,27.4789428,-99.54077699999999,0,48,0,0
10UMR,50JZV,Matamoros,23.7550281,-99.1520367,null,null,null,null
10PGS,50ZUJ,NORESTE,28.408493,-100.8860518,0,96,0,0
10QRO,50HJC,NORESTE,20.5333726,-100.7112367,0,85.33,0,0
10UMR,50B9S,Matamoros,23.7719927,-99.10828629999999,0,24,0,0
10TMP,50YVY,NORESTE,22.2572988,-97.8523075,0,89.6,0,0
10TMP,50ARV,NORESTE,22.2612266,-97.82883149999999,0,42.67,0,0
10TMP,50JCL,NORESTE,22.1975607,-97.8556179,0,56,0,0
10TMP,50RGN,NORESTE,22.2296468,-97.8706643,0,80,0,3
10NLA,50EWM,Laredo,27.4770749,-99.549421,0,82.29,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10PGS,50VCI,NORESTE,28.677673,-100.576535,0,7,0,0
10TMP,50IJL,NORESTE,22.3164763,-97.8906667,0,24,0,0
10QRO,50CHC,NORESTE,20.5481072,-100.4122468,0,74.67,0,12
10PGS,50GBW,NORESTE,28.3231111,-100.8959568,0,58.67,0,0
10TMP,50GTE,NORESTE,22.253043,-97.83071059999999,0,80,0,0
10QRO,50UVR,NORESTE,20.7062631,-100.4460517,0,80,0,0
10QRO,50OCF,NORESTE,20.6039726,-100.4190025,0,80,0,0
10UMR,50RRA,Matamoros,37.4180951010362,-122.098531723022,0,73.14,0,0
10QRO,50ZUA,NORESTE,20.5847279,-100.4109706,0,82.29,0,0
10QRO,50HKL,NORESTE,21.1548385,-100.9448121,0,57.6,0,0
10UMR,50KMT,Matamoros,23.7216399,-99.16398579999999,0,6.91,0,0
10UMR,50YCR,Matamoros,23.7368433,-99.13915569999999,0,5.33,0,0
10UMR,50URF,Matamoros,25.869677,-97.52280340000002,0,73.14,0,0
10QRO,50HDA,NORESTE,20.5702717,-100.4081997,null,null,null,null
10QRO,50W46,NORESTE,21.3045246,-100.511903,0,42.67,3,0
10QRO,50HPH,NORESTE,20.3937051,-99.96884179999999,0,82.29,0,0
10TMP,50AGW,NORESTE,22.2571998,-97.874094,6,7.56,0,0
10TMP,50RAK,NORESTE,22.3082121,-97.8495001,0,78.22,0,96
10QRO,50CYL,NORESTE,20.5841428,-100.3991815,0,41.14,3,0
10QRO,50SQS,NORESTE,20.5428867,-100.3993514,0,51.2,0,0
10TMP,502J3,NORESTE,21.7618727,-98.4525292,0,53.33,3,0
10QRO,50Z0B,NORESTE,20.5573559,-100.4531758,6,48,0,0
10QRO,50W3F,NORESTE,20.6455427,-100.4786603,0,3,0,0
10QRO,50QHE,NORESTE,20.5029739,-100.8131552,0,85.33,0,0
10QRO,501Y6,NORESTE,20.6574463,-100.4757354,0,42.67,0,0
10QRO,50VEY,NORESTE,20.393458,-99.9940465,0,48,0,0
10UMR,50Q0N,Matamoros,25.8347346,-97.4777063,0,89.6,0,0
10TMP,50AEV,NORESTE,22.2869491,-97.80302089999999,0,53.33,0,0
10TMP,50HN6,NORESTE,22.8439108,-99.3365858,0,21.33,0,0
10NLA,50HKH,Laredo,27.4894775,-99.50669789999999,0,12,0,0
10QRO,50QRB,NORESTE,21.1570148,-100.9349504,0,5.87,0,0
10UMR,50BAA,Matamoros,23.7433176,-99.1646215,0,5.33,0,0
10QRO,50UXH,NORESTE,20.5304105,-99.89943489999999,0,53.33,0,0
10QRO,50KDS,NORESTE,37.4180951010362,-122.098531723022,0,85.33,0,0
10QRO,50U2Y,NORESTE,20.5744289,-100.2579532,96,6.67,0,0
10TMP,50SFV,NORESTE,22.2705511,-97.8631941,0,96,0,0
10QRO,50QPD,NORESTE,20.6461472,-100.4046994,0,80,0,0
10QRO,50DNA,NORESTE,20.6379797,-100.4897399,0,6,0,0
10UMR,50BIY,Matamoros,25.7971546,97.56805949999999,0,80,0,0
10NLA,50PDT,Laredo,27.4717529,-99.4881334,0,6.15,0,0
10NLA,50IPE,Laredo,27.4404142,-99.5081811,0,53.33,0,0
10QRO,5034C,NORESTE,20.6428743,-100.2365053,0,53.33,0,0
10TMP,50V28,NORESTE,22.3877584,-97.95017779999999,0,3.33,0,0
10TMP,50YUV,NORESTE,22.3955057,-97.887903,0,53.33,0,0
10TMP,50KMA,NORESTE,22.2711121,-97.84875869999999,0,48,0,3
10TMP,50OR1,NORESTE,21.9959303,-99.0192817,0,80,0,0
10TMP,50AET,NORESTE,22.2868214,-97.86916269999999,6,48,0,0
10QRO,50QJZ,NORESTE,20.52302,-99.8981,0,53.33,0,0
10NLA,50LMQ,Laredo,27.5168167,-99.55670579999999,0,6.67,0,0
10QRO,50IP3,NORESTE,20.6583209,-100.4661319,0,85.33,0,0
10QRO,50TYI,NORESTE,20.3841171,-100.0113366,0,3.82,48,0
10PGS,50KRN,NORESTE,28.4225861,-100.7620327,0,48,0,0
10PGS,50A3V,NORESTE,29.3348049,-100.9895016,0,85.33,0,0
10QRO,50LDQ,NORESTE,20.5991639,-100.3684255,0,5.18,0,0
10NLA,50UHK,Laredo,27.4762084,-99.5536147,0,89.6,0,0
